Id|Filename|Size
33571173|204007381_LA.bam.md5sum|32
33571174|204007381_LA.bam|336935198
33571175|204007381_LA.fastqc_metrics.csv|208631
33571176|204007381_LA.fusion_candidates.features.csv|20178
33571177|204007381_LA.fusion_candidates.final|2259
33571178|204007381_LA.fusion_candidates.filter_info|41670
33571179|204007381_LA.fusion_candidates.preliminary|11513
33571180|204007381_LA.insert-stats.tab|403
33571181|204007381_LA.metrics.json|7383
33571182|204007381_LA.mapping_metrics.csv|7549
33571183|204007381_LA.multiqc_report.html|1400864
33571184|204007381_LA.quant.eq_classes.txt|5462118
33571185|204007381_LA.quant.metrics.csv|940
33571186|204007381_LA.quant.genes.sf|2349954
33571187|204007381_LA.quant.sf|8989888
33571188|204007381_LA.time_metrics.csv|1087
33571189|204007381_LA.quant.transcript_coverage.txt|1144
33571190|204007381_LA.trimmer_metrics.csv|1368
33571191|204007381_LA.quant.transcript_fragment_lengths.txt|15311
33571192|204007381_LA.unfiltered.SJ.out.tab|517606
33571193|204007381_LA.wgs_coverage_metrics.csv|1660
33571194|204007381_LA.wgs_contig_mean_cov.csv|2300
33571195|204007381_LA.wgs_fine_hist.csv|8043
33571197|204007381_LA.wgs_hist.csv|398
33571199|204007381_LA.wgs_overall_mean_cov.csv|42
33577104|204007381-LA_S7_L001_R2_001.fastq.gz|175810771
33577105|204007381-LA_S7_L001_R1_001.fastq.gz|172611026
